ID,Streckenverlauf,Streckenqualitaet,Wind,Startzeit,Sieg
1,Eben,Schlecht,Ja,Mittags,Ja
2,Bergig,Schlecht,Nein,Mittags,Ja
3,Bergig,Schlecht,Ja,Morgens,Ja
4,Eben,Gut,Ja,Morgens,Nein
5,Bergig,Gut,Ja,Morgens,Nein
6,Eben,Schlecht,Ja,Mittags,Ja
7,Bergig,Schlecht,Ja,Morgens,Ja
8,Eben,Schlecht,Ja,Morgens,Ja
9,Eben,Schlecht,Ja,Mittags,Ja
10,Eben,Schlecht,Ja,Morgens,Ja
11,Bergig,Schlecht,Ja,Morgens,Ja
12,Eben,Schlecht,Nein,Mittags,Ja
13,Bergig,Schlecht,Nein,Mittags,Ja
14,Bergig,Schlecht,Nein,Morgens,Nein
15,Bergig,Gut,Ja,Mittags,Nein
16,Bergig,Schlecht,Ja,Morgens,Ja
17,Eben,Schlecht,Nein,Morgens,Nein
18,Eben,Gut,Ja,Mittags,Nein
19,Eben,Gut,Ja,Morgens,Nein
20,Eben,Schlecht,Ja,Morgens,Ja
